conv_id,turn_id,speaker,utterance,dialog_act,empathy,emotion,emotional_polarity,self_disclosure,empathy_mean,da,gen_utterance,gen_dialog_act,gen_empathy,gen_emotion,gen_emotional_polarity,gen_self_disclosure,gen_da,diff_word_len,diff_empathy,diff_emotional_polarity,text_similarity,wc,gen_wc,ppl,da_category,gen_da_category
477,0,Person 1,"ahoy, what did you think about the article?","('qo',)",0.560234845,0.706659138,0.774597049,0.787016571,1.410603794,qo,Hello! I hope you're doing well. I was wondering about your thoughts on the article. Did it resonate with you?,(),1.211977124,,0.528689504,,none,12,0.651742279,-0.245907545,0.809349122,8,20,11.54794407,question,others
477,1,Person 2,"Hello, I do not find it shocking, when I go grocery shopping I find it kind of insane with how much food people have in their carts like no way they can eat it all","('sv',)",2.354839563,2.715030909,1.687318444,2.955718279,1.410603794,sv,"Hello, I can understand your perspective, as when I go grocery shopping, I too am often amazed by the amount of food people have in their carts. It makes me wonder if they can really consume it all.","('sv',)",2.441730976,,0.872972131,,sv,3,0.086891413,-0.814346313,0.924120111,35,38,16.30363846,opinion,opinion
477,2,Person 1,"I agree, i am guilty of it myself to be honest","('aa',)",1.706108689,2.392849445,1.689476967,2.997327089,1.410603794,aa,"I understand and, to be honest, I must admit that I am guilty of it myself as well.","('sd',)",2.300868273,,1.501048207,,sd,7,0.594759584,-0.18842876,0.925148235,11,18,11.72395706,agreement,fact
477,3,Person 2,I am pretty good with sticking to my recipes and my list but I have a problem with produce since it seems to go bad a lot of the time before we have time to eat it,"('sd',)",1.720752954,2.016332388,1.209879398,3.090903997,1.410603794,sd,"I understand that you are quite skilled at following recipes and maintaining a list, but it seems that you face a challenge with produce, as it often goes bad before you have the chance to consume it.",(),2.161519527,,1.022993684,,none,0,0.440766573,-0.186885714,0.929472377,37,37,24.17308998,fact,others
477,4,Person 1,Do you just throw it away then?,"('qy',)",1.087586999,1.272931695,1.196428537,1.344572663,1.410603794,qy,Would you consider discarding it then?,"('qy',)",1.264485121,,1.188534141,,qy,-1,0.176898122,-0.007894396,0.891876121,7,6,53.39141464,question,question
477,5,Person 2,I try to cut off the bad pieces but sometimes its not salvageable,"('sd',)",2.327995062,2.274957895,1.730832338,2.396507978,1.410603794,sd,"I make an effort to remove the unfavorable parts, but occasionally, it may not be possible to save it.","('sd',)",2.234354019,,1.213568687,,sv,6,-0.093641043,-0.517263651,0.889846722,13,19,32.45837021,fact,opinion
477,6,Person 1,"Nice, i usually just turn it into a shake of some sort!","('sd',)",1.457555532,2.106632471,0.419588238,2.129436255,1.410603794,sd,That's lovely! I usually enjoy transforming it into some kind of shake as well!,(),1.659476995,,0.051162142,,none,2,0.201921463,-0.368426096,0.929560606,12,14,91.80096436,fact,others
477,7,Person 2,"Thats a good idea, my neighbor has a little compost that she uses for a garden which is cool. What type of food do you waste the most of","('sd',)",1.960178614,1.95574224,0.465205133,2.451621532,1.410603794,sd,"That's a wonderful idea! My neighbor also has a small compost that she utilizes for her garden, which is quite impressive. May I ask, which kind of food do you find yourself wasting the most?","('qo',)",1.918950796,,0.497129977,,qo,6,-0.041227818,0.031924844,0.944606282,29,35,26.2722683,fact,question
477,8,Person 1,Vegetables and rice,"('sd',)",0.7548123,0.83744812,0.839649916,1.352275252,1.410603794,sd,Savoring the delightful combination of nutritious vegetables and wholesome rice.,"('+',)",1.820359349,,0.478678942,,+,7,1.065547049,-0.360970974,0.82850649,3,10,61.15390778,fact,others
477,9,Person 2,"Yea I have a problem with wasting pasta, i guess people need to be more conscious of when they think they are making too much of something","('aa', 'sv')",2.208585501,2.159866571,1.738406539,2.52358532,1.410603794,aa,"I understand that there might be an issue with wasting pasta, and I believe it's essential for people to be more aware of the quantity they're preparing to avoid making too much of something.","('sv',)",2.473121881,,1.186857343,,sv,7,0.26453638,-0.551549196,0.884486056,27,34,27.55012703,agreement,opinion
477,10,Person 1,True! What kind of food do you cook the most?,"('qw',)",1.085108995,1.335405707,0.479330629,1.416232347,1.410603794,qw,Absolutely! Which type of cuisine do you find yourself preparing the most often?,"('qw',)",1.137194633,,0.525235891,,qw,3,0.052085638,0.045905262,0.919029599,10,13,27.2641468,question,question
477,11,Person 2,"I try to switch it up but I make steak, fish, quesadillas, chili, grilled chicken and then have to make a separate meal for my picky eaters","('sd',)",1.584086061,1.913880348,1.114394665,3.04852438,1.410603794,sd,"I understand the challenge of catering to diverse tastes, so I make an effort to vary the menu by preparing dishes like steak, fish, quesadillas, chili, and grilled chicken. However, I also take the time to lovingly create a separate meal for those with more selective preferences.","('sd',)",1.787440658,,0.599353194,,sv,20,0.203354597,-0.515041471,0.860739498,27,47,22.43384361,fact,opinion
477,12,Person 1,That sounds delicious. I wish i knew how to make that,"('sv',)",2.476317644,3.044588327,0.584715247,2.410622835,1.410603794,sv,That does sound delectable! I can only imagine how wonderful it would be if I had the skills to create such a dish.,"('ba',)",2.673931599,,0.438678056,,ba,12,0.197613955,-0.146037191,0.875023107,11,23,12.8048687,opinion,backward
477,13,Person 2,Which thing? What do you usually cook,"('qw',)",0.469551891,0.824924648,0.497411638,1.095483184,1.410603794,qw,Which dish are you referring to? What type of meal do you typically prepare?,"('qw',)",0.728182137,,0.736374259,,qw,7,0.258630246,0.238962621,0.886706391,7,14,14.87039757,question,question
477,14,Person 1,I usually just eat rice with some eggs. That's it,"('sd',)",1.331195593,1.505969882,0.851540565,2.797165632,1.410603794,sd,I typically enjoy a simple meal of rice accompanied by some eggs. That's all I need.,"('sd',)",1.388317943,,0.689456105,,sv,6,0.05712235,-0.16208446,0.938544946,10,16,35.63591766,fact,opinion
477,15,Person 2,"For real? Learning how to cook is a very valuable tool, how old are you?","('aa', 'qw')",1.306407928,2.087439299,0.654570341,1.731624722,1.410603794,aa,"Is it true? Acquiring cooking skills is indeed quite valuable. May I know your age, if you don't mind sharing?","('qy',)",1.285791159,,0.535676956,,qy,5,-0.020616769,-0.118893385,0.902698089,15,20,34.81151581,agreement,question
477,16,Person 1,I am 40 years old unfortunately,"('sd',)",1.202551961,2.000454187,1.440343499,2.815093517,1.410603794,sd,"Regrettably, I have reached the age of 40.","('sd',)",2.334949732,,1.568323374,,sv,2,1.132397771,0.127979875,0.937671781,6,8,13.434865,fact,opinion
477,17,Person 2,"I am 30, my boyfriend in college was a chef though so maybe i got a head start in the culinary world","('sd',)",1.244713068,1.623591304,0.48748669,3.020272017,1.410603794,sd,"At the age of 30, I feel fortunate to have had a boyfriend in college who was a chef, as it may have given me an early advantage in the culinary world.","('sd',)",2.11715889,,0.372594625,,sv,10,0.872445822,-0.114892065,0.933526581,22,32,16.80072212,fact,opinion
477,18,Person 1,That's awesome. It was nice talking to you! bye,"('fc',)",0.997496188,2.019673824,0.380253047,1.208856344,1.410603794,fc,That's truly wonderful! I thoroughly enjoyed our conversation. Take care and goodbye!,"('fc',)",0.985896647,,0.220120713,,fc,3,-0.011599541,-0.160132334,0.911613201,9,12,43.78162384,forward,forward
477,19,Person 2,bye,"('fc',)",0.3759965,0.742811799,1.016468167,0.913960814,1.410603794,fc,Farewell,(),0.660792351,,0.694128156,,none,0,0.284795851,-0.322340011,0.792264652,1,1,39.80009842,forward,others
