conv_id,turn_id,speaker,utterance,dialog_act,empathy,emotion,emotional_polarity,self_disclosure,empathy_mean,da,gen_utterance,gen_dialog_act,gen_empathy,gen_emotional_polarity,gen_da,diff_word_len,diff_empathy,diff_emotional_polarity,text_similarity,wc,gen_wc,ppl,da_category,gen_da_category
477,0,Person 1,"ahoy, what did you think about the article?","('qo',)",0.560234845,0.706659138,0.774597049,0.787016571,1.410603794,qo,Greetings! I'm eager to know your thoughts and feelings about the article. How did it resonate with you?,"('fp', 'qo')",1.043125867843628,0.4791603088378906,fp,10,0.4828910228436279,-0.2954367401621094,0.8348935968386292,8,18,17.256084442138672,question,forward
477,1,Person 2,"Hello, I do not find it shocking, when I go grocery shopping I find it kind of insane with how much food people have in their carts like no way they can eat it all","('sv',)",2.354839563,2.715030909,1.687318444,2.955718279,1.410603794,sv,"Greetings, I can understand the feeling of surprise when observing the amount of food people have in their carts during grocery shopping. It's quite astonishing to think about the possibility of consuming it all, and it's natural to feel a sense of bewilderment.","('sv',)",2.567301750183105,1.1723275184631348,sv,8,0.2124621871831049,-0.5149909255368652,0.9070643092263176,35,43,23.15212821960449,opinion,opinion
477,2,Person 1,"I agree, i am guilty of it myself to be honest","('aa',)",1.706108689,2.392849445,1.689476967,2.997327089,1.410603794,aa,"I wholeheartedly concur, and I must humbly admit that I, too, have been culpable of this behavior. It's a genuine moment of self-reflection and vulnerability for me to acknowledge this.","('sd',)",2.562761068344116,1.104755997657776,sd,19,0.8566523793441163,-0.584720969342224,0.8042185467852061,11,30,14.342108726501465,agreement,fact
477,3,Person 2,I am pretty good with sticking to my recipes and my list but I have a problem with produce since it seems to go bad a lot of the time before we have time to eat it,"('sd',)",1.720752954,2.016332388,1.209879398,3.090903997,1.410603794,sd,"I genuinely appreciate the effort you put into adhering to your recipes and grocery list. However, I understand the challenge you face with produce, as it often tends to spoil before you have the opportunity to consume it. This can be quite disheartening, especially when you're trying your best to maintain a healthy and balanced diet.","('sd',)",2.596221208572388,0.9641610980033876,sd,19,0.8754682545723882,-0.2457182999966124,0.8758052575583622,37,56,13.425482749938965,fact,fact
477,4,Person 1,Do you just throw it away then?,"('qy',)",1.087586999,1.272931695,1.196428537,1.344572663,1.410603794,qy,Is it then a matter of gently letting it go?,"('qy',)",1.8728073835372925,0.9246768951416016,qy,3,0.7852203845372925,-0.2717516418583985,0.7894078255880248,7,10,47.93476867675781,question,question
477,5,Person 2,I try to cut off the bad pieces but sometimes its not salvageable,"('sd',)",2.327995062,2.274957895,1.730832338,2.396507978,1.410603794,sd,"I make every effort to remove the unfavorable parts, but there are instances when it's simply beyond repair, and I empathize with the struggle that comes with that realization.","('sd',)",2.869812726974488,1.4008938074111938,sd,16,0.5418176649744884,-0.329938530588806,0.8266171887558831,13,29,33.6641731262207,fact,fact
477,6,Person 1,"Nice, i usually just turn it into a shake of some sort!","('sd',)",1.457555532,2.106632471,0.419588238,2.129436255,1.410603794,sd,That's a lovely idea! I can imagine how turning it into a shake of some sort brings a delightful and comforting touch to the experience.,"('ba',)",2.9755547046661377,0.34837207198143,ba,13,1.5179991726661377,-0.07121616601857,0.8465660154608424,12,25,39.75042343139648,fact,backward
477,7,Person 2,"Thats a good idea, my neighbor has a little compost that she uses for a garden which is cool. What type of food do you waste the most of","('sd',)",1.960178614,1.95574224,0.465205133,2.451621532,1.410603794,sd,"That's a thoughtful idea! My neighbor has a small compost that she utilizes for her garden, which is quite admirable. I'm curious, which type of food do you find yourself wasting the most?","('qo',)",1.9599114656448364,0.4957434237003326,qo,4,-0.0002671483551635,0.0305382907003325,0.9410351448747454,29,33,29.199621200561523,fact,question
477,8,Person 1,Vegetables and rice,"('sd',)",0.7548123,0.83744812,0.839649916,1.352275252,1.410603794,sd,"The humble vegetables and rice, when combined, create a nourishing and comforting meal that not only sustains our bodies but also brings warmth to our souls, reminding us of the simple yet profound joys of life.","('sd',)",2.589286088943481,0.3601684272289276,sd,33,1.834473788943481,-0.4794814887710724,0.8172689161497559,3,36,15.33449935913086,fact,fact
477,9,Person 2,"Yea I have a problem with wasting pasta, i guess people need to be more conscious of when they think they are making too much of something","('aa', 'sv')",2.208585501,2.159866571,1.738406539,2.52358532,1.410603794,aa,"I can understand the concern about wasting pasta; it's essential for us to be more mindful and aware when preparing food, as it helps us avoid making excessive amounts that might go to waste.","('sv',)",2.692423820495605,0.9374988079071044,sv,7,0.4838383194956051,-0.8009077310928957,0.880910108615677,27,34,33.63587951660156,agreement,opinion
477,10,Person 1,True! What kind of food do you cook the most?,"('qw',)",1.085108995,1.335405707,0.479330629,1.416232347,1.410603794,qw,"Indeed! I can imagine the joy and satisfaction that comes from preparing a meal. May I kindly ask, which type of cuisine do you find yourself creating most often?","('qo',)",1.7434173822402954,0.4796032905578613,qo,19,0.6583083872402955,0.0002726615578612,0.8572616565875977,10,29,27.75957298278809,question,question
477,11,Person 2,"I try to switch it up but I make steak, fish, quesadillas, chili, grilled chicken and then have to make a separate meal for my picky eaters","('sd',)",1.584086061,1.913880348,1.114394665,3.04852438,1.410603794,sd,"I understand the challenge of preparing diverse meals like steak, fish, quesadillas, chili, and grilled chicken, while also catering to the unique preferences of my dear picky eaters by creating a separate meal just for them. It's a labor of love that truly showcases the depth of my care and dedication to their happiness and well-being.","('sd',)",2.258950471878052,0.5278257727622986,sd,29,0.6748644108780522,-0.5865688922377015,0.8644397021108853,27,56,21.783809661865234,fact,fact
